阿勒泰机场,ALTAY,阿勒泰,AAT
,XINGYI,,ACX
安康机场,ANKANG,安康,AKA
阿克苏机场,AKSU,阿克苏,AKU
鞍山机场,ANSHAN,鞍山,AOG
安庆机场,ANQING,安庆,AQG
黄果树机场,AN SHUN,黄果树,AVA
安阳机场,ANYANG,安阳,AYN
包头机场,BAOTOU,包头,BAV
蚌埠机场,BENGBU,蚌埠,BFU
北海机场,BEIHAI,北海,BHY
邦达机场,BANGDA,邦达,BPX
保山机场,BAOSHAN,保山,BSD
广州机场,GUANGZHOU,广州,CAN
常德机场,CHANGDE,常德,CGD
郑州机场,ZHENGZHOU,郑州,CGO
长春机场,CHANGCHUN,长春,CGQ
朝阳机场,CHAOYANG,朝阳,CHG
酒泉机场,JIUQUAN,酒泉,CHW
赤峰机场,CHIFENG,赤峰,CIF
长治机场,CHANGZHI,长治,CIH
重庆机场,CHONGQING,重庆,CKG
,CHANGHAI,,CNI
长沙机场,CHANGSHA,长沙,CSX
成都机场,CHENGDU,成都,CTU
常州机场,CHANGZHOU,常州,CZX
大同机场,DATONG,大同,DAT
达县机场,DAXIAN,达县 ,DAX
丹东机场,DANDONG,丹东,DDG
东莞机场,DONGGUAN,东莞,DGM
迪庆机场,DIQING,迪庆,DIG
大连机场,DALIAN,大连,DLC
大理市机场,DALI CITY,大理市,DLU
敦煌机场,DUNHUANG,敦煌,DNH
东营机场,DONGYING,东营,DOY
东胜机场,DONGSHENG,东胜,DSN
大庸机场,DAYONG,大庸,DYG
大足机场,DAZU,大足,DZU
恩施机场,ENSHI,恩施,ENH
延安机场,YAN'AN,延安,ENY
福州机场,FUZHOU,福州,FOC
绥芬河机场,SUI FEN HE,绥芬河,FUD
阜阳机场,FUYANG,阜阳,FUG
佛山机场,FUOSHAN,佛山,FUO
富蕴机场,FUYUN,富蕴,FYN
广汉机场,GUANGHAN,广汉,GHN
格尔木机场,GOLMUD,格尔木,GOQ
广元机场,GUANG YUAN,广元,GYS
海口机场,HAIKOU,海口,HAK
黑河机场,HEIHE,黑河,HEK
呼和浩特机场,HOHHOT,呼和浩特,HET
合肥机场,HEFEI,合肥,HFE
杭州萧山国际机场,HANGZHOU,杭州,HGH
,HUANGHUA,,HHA
海拉尔机场,HAILAR,海拉尔,HLD
乌兰浩特机场,ULANHOT,乌兰浩特,HLH
哈密机场,HAMI,哈密,HMI
衡阳机场,HENGYANG,衡阳,HNY
哈尔滨机场,HARBIN,哈尔滨,HRB
韶关机场,SHAOGUAN,韶关,HSC
舟山机场,ZHOUSHAN,舟山,HSN
,HOTAN,,HTN
惠州机场,HUIZHOU,惠州,HUZ
黄岩机场,HUANGYAN,黄岩,HYN
汉中机场,HANZHONG,汉中,HZG
银川机场,YINCHUAN,银川,INC
,QIEMO,,IQM
庆阳机场,QINGYANG,庆阳,IQN
景德镇机场,JINGDEZHEN,景德镇,JDZ
嘉峪关机场,JIAYUGUAN,嘉峪关,JGN
井冈山机场,JI AN,井冈山,JGS
景洪机场,JINGHONG,景洪,JHG
吉林机场,JILIN,吉林,JIL
九江机场,JIUJIANG,九江,JIU
晋江机场,JINJIANG,晋江,JJN
佳木斯机场,JIAMUSI,佳木斯,JMU
济宁机场,JINING,济宁,JNG
锦州机场,JINZHOU,锦州,JNZ
,JUZHOU  ZHEJIANG PROVINCE,,JUZ
,SONG PAN,,JZH
库车机场,KUQA,库车,KCA
喀什机场,KASHI,喀什,KHG
南昌机场,NANCHANG,南昌,KHN
昆明机场,KUNMING,昆明,KMG
吉安机场,JI'AN,吉安,KNC
赣州机场,GANZHOU,赣州,KOW
库尔勒机场,KORLA,库尔勒,KRL
克拉玛依机场,KARAMAY,克拉玛依,KRY
贵阳机场,GUIYANG,贵阳,KWE
桂林机场,GUILIN,桂林,KWL
龙岩机场,LONGYAN,龙岩,LCX
,GUANGHUA,,LHK
兰州机场,LANZHOU,兰州,LHW
丽江机场,LIJIANG,丽江,LJG
,LING LING,,LLF
,LINCANG,,LNJ
德宏芒市机场,LUXI,泸西,LUM
庐山机场,LUSHAN,庐山,LUZ
拉萨机场,LHASA,拉萨,LXA
拉萨机场,LHASA,拉萨,LXA
,LINXI,临西,LXI
洛阳机场,LUOYANG,洛阳,LYA
连云港机场,LIANYUNGANG,连云港,LYG
临沂机场,LINYI,临沂,LYI
兰州东机场,LANZHOU,兰州,LZD
柳州机场,LIUZHOU,柳州,LZH
南竿机场#马祖岛,NANGAN,南竿,LZN
泸州机场,LUZHOU,泸州,LZO
牡丹江机场,MUDANJIANG,牡丹江,MDG
绵阳机场,MIAN YANG,绵阳,MIG
梅县机场,MEI XIAN,梅县,MXZ
南充机场,NANCHONG,南充,NAO
北京南苑机场,BEIJING,北京南苑,NAY
齐齐哈尔机场,QIQIHAR,齐齐哈尔,NDG
宁波机场,NINGBO,宁波,NGB
南京机场,NANKING,南京,NKG
南宁机场,NANNING,南宁,NNG
南阳机场,NANYANG,南阳,NNY
南通机场,NANTONG,南通,NTG
满洲里机场,MANZHOULI,满洲里,NZH
北京首都国际机场,BEIJING,北京,PEK
蓬莱机场,PENG LAI,蓬莱,PNJ
上海浦东国际机场,SHANGHAI,上海,PVG
攀枝花机场,PAN ZHI HUA,攀枝花,PZI
如皋机场,RUGAO,如皋,RUG
上海虹桥机场,SHANGHAI,上海,SHA
沈阳机场,SHENYANG,沈阳,SHE
山海关机场,SHANHAIGUAN,山海关,SHF
秦皇岛机场,QINHUANGDAO,秦皇岛,SHP
沙市机场,SHASHI,沙市,SHS
西安机场,XIAN,西安,SIA
石家庄机场,SHIJIAZHUANG,石家庄,SJW
汕头机场,SHANTOU,汕头,SWA
,SHANSHAN,,SXJ
思茅机场,SIMAO,思茅 ,SYM
三亚机场,SANYA,三亚,SYX
商州机场,SHANZHOU,商州,SZO
苏州机场,SUZHOU,苏州,SZV
深圳机场,SHENZHEN,深圳,SZX
青岛机场,QINGDAO,青岛,TAO
塔城机场,TACHENG,塔城,TCG
铜仁机场,TONGREN,铜仁,TEN
通辽机场,TONGLIAO,通辽,TGO
济南机场,JINAN,济南,TNA
通化机场,TONGHUA,通化,TNH
天津机场,TIANJIN,天津,TSN
屯溪机场,TUNXI,屯溪,TXN
太原机场,TAIYUAN,太原,TYN
乌鲁木齐机场,URUMQI,乌鲁木齐,URC
玉林机场,YULIN,玉林,UYN
潍坊机场,WEIFANG,潍坊,WEF
威海机场,WEIHAI,威海,WEH
芜湖机场,WUHU,芜湖,WHU
温州机场,WENZHOU,温州,WNZ
武汉机场,WUHAI,武汉,WUA
武汉机场,WUHAN,武汉,WUH
武夷山机场,WUYISHAN,武夷山,WUS
无锡机场,WUXI,无锡,WUX
梧州机场,WUZHOU,梧州,WUZ
万县机场,WANXIAN,万县,WXN
兴城机场,XINGCHENG,兴城,XEN
襄樊机场,XIANGFAN,襄樊,XFN
西昌机场,XICHANG,西昌,XIC
锡林浩特机场,XILINHOT,锡林浩特,XIL
兴宁县机场,XINGNING,兴宁县,XIN
西安咸阳机场,XIAN,西安,XIY
厦门机场,XIAMEN,厦门,XMN
西宁机场,XINING,西宁,XNN
邢台机场,XINGTAI,邢台,XNT
徐州机场,XUZHOU,徐州,XUZ
宜宾机场,YIBIN,宜宾,YBP
宜昌机场,YICHANG,宜昌,YIH
伊宁机场,YINING,伊宁,YIN
义乌机场,YIWU,义乌,YIW
宜兰机场,YILAN,宜兰,YLN
延吉机场,YANJI,延吉,YNJ
烟台机场,YANTAI,烟台,YNT
盐城机场,YANCHENG,盐城,YNZ
元谋机场,YUANMOU,元谋,YUA
昭通机场,ZHAOTONG,昭通,ZAT
中川机场,LANZHOU,兰州,ZGC
湛江机场,ZHANJIANG,湛江,ZHA
珠海机场,ZHUHAI,珠海,ZUH
遵义机场,ZUNYI,遵义,ZYI
